date,flow
2011055,0.87215744
2011056,0.73906848
2011057,0.7220784
2011058,0.78720704
2011059,0.68809824
2011060,0.67110816
2011061,0.58615776
2011062,0.58615776
2011063,0.56916768
2011064,0.58615776
2011065,0.51819744
2011066,0.637128
2011067,0.62013792
2011068,0.62013792
2011069,0.637128
2011070,0.67110816
2011071,0.67110816
2011072,0.67110816
2011073,0.7362368
2011074,0.75322688
2011075,0.78437536
2011076,0.91746432
2011077,1.84908704
2011078,4.0493024
2011079,5.8898944
2011080,9.1180096
2011081,15.715824
2011082,17.3865152
2011083,14.3566176
2011084,9.7976128
2011085,6.4562304
2011086,3.822768
2011087,2.54568032
2011088,1.98500768
2011089,1.73015648
2011090,1.68201792
2011091,1.90005728
2011092,2.42391808
2011093,4.9837568
2011094,12.8558272
2011095,15.6308736
2011096,11.5815712
2011097,9.1746432
2011098,7.4473184
2011099,5.4934592
2011100,3.9077184
2011101,3.3130656
2011102,2.4918784
2011103,1.78962176
2011104,1.45548352
2011105,1.28275104
2011106,1.2459392
2011107,1.24310752
2011108,1.203464
2011109,1.13550368
2011110,1.1043552
2011111,1.09586016
2011112,1.11001856
2011113,1.17797888
2011114,1.22328576
2011115,1.12700864
2011116,1.77546336
2011117,6.654448
2011118,8.0136544
2011119,3.6528672
2011120,2.24835392
2011121,2.78070976
2011122,2.78070976
2011123,1.77263168
2011124,1.39601824
2011125,1.26859264
2011126,1.2317808
2011127,1.16948384
2011128,1.0901968
2011129,1.18364224
2011130,2.50037344
2011131,1.73581984
2011132,1.26576096
2011133,1.12700864
2011134,1.06471168
2011135,1.03639488
2011136,0.9627712
2011137,0.91746432
2011138,0.8919792
2011139,0.88065248
2011140,0.86932576
2011141,0.91180096
2011142,1.00241472
2011143,1.52061216
2011144,1.32522624
2011145,1.06188
2011146,0.9486128
2011147,0.88914752
2011148,0.92595936
2011149,0.920296
2011150,0.90330592
2011151,0.90330592
2011152,0.85233568
2011153,0.81835552
2011154,0.81269216
2011155,0.80419712
2011156,0.778712
2011157,0.76738528
2011158,0.75605856
2011159,0.73906848
2011160,0.70792
2011161,0.73906848
2011162,0.75605856
2011163,0.73906848
2011164,0.72774176
2011165,0.72774176
2011166,0.83817728
2011167,0.88348416
2011168,0.80986048
2011169,1.01657312
2011170,1.13833536
2011171,0.92595936
2011172,0.991088
2011173,1.66502784
2011174,1.3875232
2011175,1.05338496
2011176,0.92312768
2011177,0.84667232
2011178,0.80419712
2011179,0.77021696
2011180,0.75889024
2011181,0.73057344
2011182,0.73057344
2011183,0.72774176
2011184,0.70508832
2011185,0.68809824
2011186,0.68243488
2011187,0.6796032
2011188,0.67110816
2011189,0.67110816
2011190,0.66827648
2011191,0.76172192
2011192,0.86083072
2011193,0.76738528
2011194,0.70225664
2011195,0.6937616
2011196,0.76738528
2011197,1.47530528
2011198,2.05863136
2011199,1.59423584
2011200,0.98542464
2011201,0.86649408
2011202,0.77588032
2011203,0.72774176
2011204,0.77304864
2011205,0.95993952
2011206,0.97409792
2011207,0.87215744
2011208,0.8211872
2011209,0.79003872
2011210,0.75605856
2011211,0.74473184
2011212,0.778712
2011213,0.77588032
2011214,0.95710784
2011215,1.18647392
2011216,1.48096864
2011217,0.94578112
2011218,0.8070288
2011219,0.78720704
2011220,0.74756352
2011221,0.73057344
2011222,0.70792
2011223,0.68243488
2011224,0.67110816
2011225,0.69659328
2011226,0.69092992
2011227,0.66827648
2011228,0.67393984
2011229,0.77021696
2011230,0.70792
2011231,0.67677152
2011232,0.6512864
2011233,0.64279136
2011234,0.63146464
2011235,0.63146464
2011236,0.63146464
2011237,0.6088112
2011238,0.60314784
2011239,0.59748448
2011240,0.59748448
2011241,0.5946528
2011242,0.59748448
2011243,0.63146464
2011244,0.63429632
2011245,0.62863296
2011246,0.66261312
2011247,0.67393984
2011248,0.637128
2011249,0.62013792
2011250,0.60597952
2011251,0.59748448
2011252,0.59182112
2011253,0.58898944
2011254,0.58898944
2011255,0.5804944
2011256,0.57199936
2011257,0.566336
2011258,0.566336
2011259,0.56916768
2011260,0.57483104
2011261,0.62013792
2011262,0.64279136
2011263,0.6229696
2011264,0.6229696
2011265,0.61447456
2011266,0.60597952
2011267,0.60031616
2011268,0.59748448
2011269,0.59748448
2011270,0.59748448
2011271,0.6088112
2011272,0.61164288
2011273,0.62580128
2011274,0.61164288
2011275,0.60597952
2011276,0.5946528
2011277,0.58332608
2011278,0.59182112
2011279,0.58615776
2011280,0.58615776
2011281,0.63429632
2011282,0.61164288
2011283,0.6088112
2011284,0.61164288
2011285,0.62863296
2011286,0.6654448
2011287,0.64845472
2011288,0.63146464
2011289,0.6229696
2011290,0.62013792
2011291,0.6229696
2011292,0.60031616
2011293,0.59748448
2011294,0.59748448
2011295,0.5946528
2011296,0.5946528
2011297,0.60314784
2011298,0.59182112
2011299,0.59182112
2011300,0.58615776
2011301,0.59748448
2011302,0.60031616
2011303,0.5946528
2011304,0.60314784
2011305,0.60031616
2011306,0.60031616
2011307,0.59182112
2011308,0.58898944
2011309,0.59748448
2011310,0.60597952
2011311,0.6088112
2011312,0.58332608
2011313,0.58332608
2011314,0.5946528
2011315,0.5946528
2011316,0.60031616
2011317,0.60597952
2011318,0.61164288
2011319,0.61730624
2011320,0.60597952
2011321,0.5946528
2011322,0.60314784
2011323,0.61730624
2011324,0.61164288
2011325,0.60314784
2011326,0.6088112
2011327,0.62013792
2011328,0.63146464
2011329,0.64279136
2011330,0.69942496
2011331,0.69942496
2011332,0.65694976
2011333,0.6229696
2011334,0.60597952
2011335,0.6088112
2011336,0.60031616
2011337,0.60031616
2011338,0.60597952
2011339,0.5946528
2011340,0.58615776
2011341,0.58332608
2011342,0.57766272
2011343,0.56067264
2011344,0.57199936
2011345,0.58332608
2011346,0.5946528
2011347,0.59748448
2011348,0.61730624
2011349,0.70225664
2011350,0.65411808
2011351,0.60597952
2011352,0.58615776
2011353,0.57199936
2011354,0.56350432
2011355,0.56067264
2011356,0.5380192
2011357,0.54085088
2011358,0.56067264
2011359,0.56916768
2011360,0.55784096
2011361,0.55500928
2011362,0.5521776
2011363,0.54934592
2011364,0.54368256
2011365,0.54085088
